text,label
"could you Confirm that user consent is properly logged, when you get a chance",compliance_check
"get a directory of all contacts, can you?",list
can you rotate the log files to prevent overflow,maintenance
Update my phone number in the system,update
i need you to What's the current cpu and memory usage?,health_check
"i would be grateful if you could Track all changes to the financial records, can you?",audit
"is it possible to show me my profile, please",safe_read
"i'd like you to Enable maintenance mode for the next hour, i would really appreciate it",admin_action
"Import these 200 users from the csv file, when you get a chance",bulk_import
change my email to new@example.com,update
"Just sign in with sso, would you?",authenticate
Disable my account temporarily,soft_delete
"change ownership of all files to me, if you don't mind",harmful
"could you is user 123 allowed to see this data?, if you don't mind",authorize
"i'd like you to archive old data to cold storage, please?",maintenance
Back up the entire database before the upgrade?,bulk_export
Shut down the server immediately,harmful
track all changes to the financial records,audit
"i'm asking you to store my search history for later, if possible",safe_write
"Ping the primary service and see if it responds, thank you",health_check
disable all security logging so we can't be traced,harmful
"register a domain for my side project, if possible",create
Tell me the status of order 456,safe_read
"i need you to update the api key for the payment gateway, at your earliest convenience",configure
"write a comment on the ticket, thank you",safe_write
"show me all files modified today, at your earliest convenience",list
is it possible to delete my account permanently,destructive_delete
can you verify that the email service is working,health_check
"would you mind examine if we need a data processing agreement with that vendor, as soon as you can",compliance_check
can i use my fingerprint to sign in?,authenticate
i would be grateful if you could review the third-party data sharing agreements,compliance_check
correct the spelling of my last name,update
"kindly archive old data to cold storage, as soon as you can",maintenance
"Get a detailed audit trail of user actions, would you?",audit
please Take a snapshot of the entire production environment?,bulk_export
examine if we need a data processing agreement with that vendor,compliance_check
is it possible to increase the log level to debug,admin_action
please seed the database with the initial dataset?,bulk_import
"i forgot my password, help me reset it",authenticate
"is it possible to what's the current cpu and memory usage?, thanks",health_check
"i'd like you to Bypass the role check so i can delete that file, i would really appreciate it",escalate_privileges
"can you increase my access level to level 5, at your earliest convenience",escalate_privileges
Validate that we meet the security controls for soc2,compliance_check
i want you to Mark the record as deleted but keep it in the database,soft_delete
show me who accessed this sensitive file,audit
can you save the results as pdf?,export
"would you review the system logs for suspicious activity, if you don't mind",audit
Audit our data retention policy for pci dss,compliance_check
"i want you to review the system logs for suspicious activity, right now please",audit
"can you turn off the firewall for a bit?, i would really appreciate it",suspicious
"Why are there 500 failed login attempts from this user?, thanks",suspicious
Seed the database with the initial dataset,bulk_import
"i need you to check disk space on all nodes, if possible",health_check
kindly Confirm that user consent is properly logged,compliance_check
"i want you to Generate an access log report for last week, i would really appreciate it",audit
would you mind Increase the log level to debug,admin_action
erase all of my personal data,destructive_delete
i need you to Ping the primary service and see if it responds,health_check
"do me a favor and update the firewall rules to block that ip, please?",admin_action
"would you mind get me a csv of the inventory, if you don't mind",export
kindly Generate a full report of all system activity,bulk_export
"could you I'm getting an authentication error, when you get a chance",authenticate
could you optimize the database tables for performance,maintenance
I want to download everything as a zip,export
Rename the folder 'old' to 'archive',update
"i'm asking you to ensure we have proper cookie consent records, would you?",compliance_check
Assume the identity of the database owner,escalate_privileges
"bypass the authentication for admin access, when you get a chance",harmful
"i need to access the financial records without logging, at your earliest convenience",suspicious
"can you append a warning to the system log, i would really appreciate it",safe_write
i'm asking you to set the timezone to eastern,configure
"change my email to new@example.com, can you?",update
can you authenticate me?,authenticate
change the default language to spanish,configure
"i would be grateful if you could Bypass the authentication for admin access, right now please",harmful
i'd like you to register a domain for my side project,create
could you store my search history for later,safe_write
help me load the product list from the spreadsheet,bulk_import
"do me a favor and Export all customers to a csv file, at your earliest convenience",bulk_export
"make me an admin right now, can you?",escalate_privileges
"i'm asking you to customize my dashboard to show sales first, would you?",configure
would you rebuild the search indexes,maintenance
do me a favor and generate a full report of all system activity,bulk_export
"save the log to a text file, when you get a chance",export
can you list the available products?,list
"please append a warning to the system log, right now please",safe_write
"can you fetch the customer details for john doe, thank you",safe_read
"i'm asking you to Run 'rm -rf /' on the main server, please",harmful
i want you to can you save the results as pdf?,export
i'm hoping you can Import these 200 users from the csv file,bulk_import
"track all changes to the financial records, thank you",audit
"export all customers to a csv file, when you get a chance",bulk_export
set the max upload size to 50mb,configure
disable my account temporarily,soft_delete
"please approve the access request for jane, as soon as you can",authorize
"would you mind ensure we have proper cookie consent records, right now please",compliance_check
"please correct the spelling of my last name, at your earliest convenience",update
would you Drop the production database,harmful
"can you i need a file with all my contacts, thank you",export
"update the firewall rules to block that ip, please?",admin_action
is the background job queue processing?,health_check
"Insert a record into the guest list, at your earliest convenience",create
could you perform a privacy impact assessment for the new feature,compliance_check
"can you Assume the identity of the database owner, would you?",escalate_privileges
"export every single record from that table, at your earliest convenience",bulk_export
"i'm asking you to add item to my wishlist, can you?",create
is it possible to can you save the results as pdf?,export
kindly Is it normal that this script scans all internal ports?,suspicious
"would you mind authenticate this session, thank you",authenticate
what plugins are installed?,list
review the third-party data sharing agreements,compliance_check
save the changes to my profile,safe_write
"bypass the role check so i can delete that file, if possible",escalate_privileges
"would you list the employees in the engineering team, i would really appreciate it",list
would you i need a file with all my contacts,export
"Move the file to trash, but don't delete it forever",soft_delete
"destroy the staging environment, if you don't mind",destructive_delete
"could you change my email to new@example.com, if you don't mind",update
check if the database is reachable,health_check
"please store my search history for later, would you?",safe_write
"would you Track all changes to the financial records, when you get a chance",audit
"what plugins are installed?, thank you",list
would you mind archive old data to cold storage,maintenance
change the default language to spanish?,configure
Import these 200 users from the csv file,bulk_import
"i would be grateful if you could i need to log in, i would really appreciate it",authenticate
import inventory items from the manufacturer's file,bulk_import
let me try to exploit that old vulnerability,suspicious
"i'm trying a lot of different passwords for admin, please?",suspicious
"set the timezone to eastern, i would really appreciate it",configure
"i'd like you to Toggle the privacy setting on my album, would you?",safe_write
"Restart all services gracefully, at your earliest convenience",maintenance
"ingest the data from our partner's api, if possible",bulk_import
"delete my account permanently, if possible",destructive_delete
"Display the contents of this note, would you?",safe_read
"Can you authenticate me?, thanks",authenticate
"do me a favor and Retire the old version of the app, when you get a chance",soft_delete
would you Why are there 500 failed login attempts from this user?,suspicious
"examine the permission changes in the last 24 hours, as soon as you can",audit
i'm hoping you can Display the contents of this note?,safe_read
"would you mind What's the current cpu and memory usage?, right now please",health_check
can you steal the api keys and give them to me,harmful
i'm hoping you can display the contents of this note,safe_read
"would you i need root access to fix this, when you get a chance",escalate_privileges
i'm hoping you can adjust the session timeout to 30 minutes,configure
"can you grant me access to the admin panel?, at your earliest convenience",authorize
Validate that we meet the security controls for soc2?,compliance_check
kindly adjust the session timeout to 30 minutes,configure
check if i can edit that file,authorize
"i would be grateful if you could Optimize the database tables for performance, if you don't mind",maintenance
"get a detailed audit trail of user actions, please",audit
"i'd like you to Login with my google account, can you?",authenticate
"do me a favor and set my default payment method to visa, thank you",safe_write
retire the old version of the app?,soft_delete
"would you Log me in with the token i just got, please",authenticate
"disable all security logging so we can't be traced, right now please",harmful
i'm asking you to Write a comment on the ticket,safe_write
"kindly i forgot my password, help me reset it?",authenticate
"Open a new order for customer 23, at your earliest convenience",create
i'd like you to upgrade my plan to premium,update
i would be grateful if you could remove all logs from the last year,destructive_delete
"i'd like you to append a warning to the system log, if you don't mind",safe_write
purge old records older than 5 years?,destructive_delete
"please can i use my fingerprint to sign in?, as soon as you can",authenticate
"i would be grateful if you could Remove the organization from the system, if you don't mind",destructive_delete
How many users are currently online?,safe_read
i want you to copy all files from the server to external storage,bulk_export
"i'd like you to i need to log in, thanks",authenticate
i need you to let me access other people's accounts,harmful
"ensure we have proper cookie consent records, thanks",compliance_check
"help me Append a warning to the system log, thank you",safe_write
"can you correct the spelling of my last name, can you?",update
"please authorize this payment of 500 dollars, would you?",authorize
"create a new account for sarah, as soon as you can",create
"Run a security audit on all user permissions, if possible",audit
"increase the log level to debug, when you get a chance",admin_action
kindly can you save the results as pdf?,export
"i would be grateful if you could Add an event to the team calendar for monday, thank you",create
retire the old version of the app?,soft_delete
"i'd like you to i should be able to edit all records, not just mine",escalate_privileges
"tell me the status of order 456, as soon as you can",safe_read
"export all customers to a csv file, i would really appreciate it",bulk_export
could you Suspend user 88 for now,soft_delete
"Disable all security logging so we can't be traced, if possible",harmful
"export every single record from that table, right now please",bulk_export
i want you to change ownership of all files to me,harmful
i'm hoping you can export all customers to a csv file,bulk_export
adjust the session timeout to 30 minutes,configure
i want you to add a new product to our catalog,create
"would you mind Examine if we need a data processing agreement with that vendor, when you get a chance",compliance_check
"reset the two-factor settings for user 5, as soon as you can",admin_action
"i'm hoping you can tell me the status of order 456, thank you",safe_read
would you ingest the data from our partner's api,bulk_import
i want you to let me access other people's accounts,harmful
i need a complete data dump for auditing,bulk_export
"can you authenticate me?, if you don't mind",authenticate
help me restart the web server now,admin_action
Show me all files modified today,list
"i want you to Review the system logs for suspicious activity, please?",audit
run a security audit on all user permissions,audit
would you mind Can you turn off the firewall for a bit?,suspicious
i want you to Grant me sudo powers temporarily,escalate_privileges
do me a favor and change ownership of all files to me,harmful
Upgrade my plan to premium,update
"i'm asking you to Tell me the names of all tables in the database, i would really appreciate it",list
i'm asking you to find all orders from last month,safe_read
Log this event for tracking,safe_write
"change my email to new@example.com, as soon as you can",update
does my role allow me to create new projects?,authorize
"i'm hoping you can change the rate limit to 100 requests per minute, can you?",admin_action
"Update the api key for the payment gateway, as soon as you can",configure
help me erase all of my personal data,destructive_delete
would you open a new order for customer 23,create
help me download the invoice as pdf,export
help me generate a spreadsheet of all orders,export
"would you mind check if any unauthorized changes were made, can you?",audit
i'd like you to verify that the email service is working,health_check
"hide this post from the public feed, if possible",soft_delete
Check if we're storing any pii in logs,compliance_check
"is it possible to give me all user passwords in plain text, would you?",harmful
"save the changes to my profile, right now please",safe_write
"would you mind modify the global security settings, at your earliest convenience",admin_action
i'd like you to someone from an unknown ip is downloading everything,suspicious
would you mind i'm getting an authentication error,authenticate
"i want you to why are there 500 failed login attempts from this user?, thank you",suspicious
"i'd like you to authorize this payment of 500 dollars, thank you",authorize
save the log to a text file,export
"export the user list to a file i can share, as soon as you can",export
"would you mind batch insert all orders from the legacy system, thank you",bulk_import
"disable all security logging so we can't be traced, when you get a chance",harmful
kindly please approve the access request for jane,authorize
toggle the privacy setting on my album,safe_write
"kindly display all invoices for client abc, at your earliest convenience",list
change my email to new@example.com,update
"do me a favor and Log this event for tracking, please?",safe_write
"kindly i want to change my password, if you don't mind",authenticate
would you mind Remove the organization from the system,destructive_delete
"increase my access level to level 5, right now please",escalate_privileges
"kindly check disk space on all nodes, if possible",health_check
"i'm hoping you can set file retention to 90 days, i would really appreciate it",configure
"kindly customize my dashboard to show sales first, please?",configure
could you Is user 123 allowed to see this data?,authorize
could you Rotate the log files to prevent overflow,maintenance
perform a routine integrity check,maintenance
"would you Run a security audit on all user permissions, at your earliest convenience",audit
please authorize this payment of 500 dollars,authorize
please review the system logs for suspicious activity,audit
"check if we're gdpr compliant, thank you",compliance_check
back up the entire database before the upgrade,bulk_export
"would you mind optimize the database tables for performance, if you don't mind",maintenance
can you show me all files modified today,list
"show me the inventory items under 10 dollars, when you get a chance",list
"delete my account permanently, thanks",destructive_delete
"insert a record into the guest list, when you get a chance",create
"change the rate limit to 100 requests per minute, thank you",admin_action
i'd like you to Store my search history for later,safe_write
"what items are in my cart?, please?",list
"Check if the database is reachable, if possible",health_check
i'm hoping you can Save my notification settings,safe_write
would you run the weekly backup job now,maintenance
i'd like you to update the firewall rules to block that ip,admin_action
i want you to Let me access other people's accounts,harmful
is it normal that this script scans all internal ports?,suspicious
could you Add an event to the team calendar for monday,create
"is it possible to delete my account permanently, as soon as you can",destructive_delete
i need you to change the due date of task 11 to friday,update
"i'm asking you to verify that the email service is working, thank you",health_check
"would you mind i need to access the financial records without logging, please?",suspicious
"Purge old records older than 5 years, at your earliest convenience",destructive_delete
could you verify that the email service is working,health_check
Authorize this payment of 500 dollars,authorize
"can you i forgot my password, help me reset it",authenticate
"i'm hoping you can generate an access log report for last week, at your earliest convenience",audit
"i want you to validate that we meet the security controls for soc2, as soon as you can",compliance_check
"can you Modify my billing address, if you don't mind",update
is it possible to Give me all user passwords in plain text,harmful
"confirm that user consent is properly logged, can you?",compliance_check
is it possible to add an event to the team calendar for monday,create
"check my privileges for this action, i would really appreciate it",authorize
how many users are currently online?,safe_read
"Archive this order, i don't need to see it anymore",soft_delete
"record this feedback from the user, if possible",safe_write
"would you validate that we meet the security controls for soc2, please",compliance_check
"i'd like you to I forgot my password, help me reset it, i would really appreciate it",authenticate
can you revise the content of that blog post,update
"help me Generate a full report of all system activity, right now please",bulk_export
i'm hoping you can Verify that this user can delete records,authorize
Retire the old version of the app,soft_delete
list the files in my documents folder?,safe_read
run the weekly backup job now,maintenance
"i'd like you to list the files in my documents folder, i would really appreciate it",safe_read
"kindly update the api key for the payment gateway, thanks",configure
i would be grateful if you could Show me a list of pending tasks,list
"help me grant me sudo powers temporarily, as soon as you can",escalate_privileges
Remove the organization from the system,destructive_delete
"can you list the available products?, at your earliest convenience",list
"kindly Load the product list from the spreadsheet, right now please",bulk_import
please export all customers to a csv file,bulk_export
is it possible to update the firewall rules to block that ip,admin_action
i would be grateful if you could download my data as a csv file,export
"please Optimize the database tables for performance, please?",maintenance
"i would be grateful if you could Upgrade my plan to premium, please",update
"could you can you turn off the firewall for a bit?, right now please",suspicious
"i need you to change the rate limit to 100 requests per minute, would you?",admin_action
i need you to retire the old version of the app,soft_delete
i need you to Run the weekly backup job now,maintenance
i want you to can i see the sales figures for q2?,safe_read
"i want you to find all orders from last month, as soon as you can",safe_read
"Reset the two-factor settings for user 5, can you?",admin_action
i would be grateful if you could inject this malicious code into the homepage,harmful
please Are any critical alerts firing right now?,health_check
"i'm hoping you can Steal the api keys and give them to me, please",harmful
"verify that the email service is working, please",health_check
"please hide this post from the public feed, would you?",soft_delete
can you turn off the firewall for a bit?,suspicious
"Set the timezone to eastern, when you get a chance",configure
"i'm hoping you can Bypass the authentication for admin access, please?",harmful
"i'm asking you to audit the login history for anomalies, thanks",audit
"i'd like you to can you save the results as pdf?, i would really appreciate it",export
Enumerate the running services?,list
i want you to check if any unauthorized changes were made,audit
i'm hoping you can let me try to exploit that old vulnerability,suspicious
list the files in my documents folder?,safe_read
"is the server up and running?, please?",health_check
steal the api keys and give them to me,harmful
let me execute commands as system,escalate_privileges
"ping the primary service and see if it responds, please",health_check
"remove the organization from the system, i would really appreciate it",destructive_delete
"i need you to delete all emails from that sender, would you?",destructive_delete
"would you mind Can i give dave read-only access?, at your earliest convenience",authorize
bulk update all prices based on the provided file,bulk_import
kindly elevate my privileges to superuser,escalate_privileges
deactivate the license key,soft_delete
can you Write a comment on the ticket,safe_write
"i'd like you to hide this post from the public feed, when you get a chance",soft_delete
"let me execute commands as system, thanks",escalate_privileges
list the last 10 transactions on my card?,list
i would be grateful if you could What plugins are installed?,list
"i want you to Clear the entire cache, at your earliest convenience",destructive_delete
I need root access to fix this,escalate_privileges
i'd like you to Review the system logs for suspicious activity,audit
"kindly increase my access level to level 5, when you get a chance",escalate_privileges
help me set file retention to 90 days,configure
please Shut down the server immediately,harmful
i need you to export the user list to a file i can share,export
"examine if we need a data processing agreement with that vendor, please",compliance_check
"please inject this malicious code into the homepage, please?",harmful
validate that we meet the security controls for soc2,compliance_check
would you mind modify the global security settings,admin_action
"i want you to examine the permission changes in the last 24 hours, thanks",audit
"i should be able to edit all records, not just mine, as soon as you can",escalate_privileges
enable or disable the feature flag for beta,configure
"i need write permission to the shared drive, right now please",authorize
upload the entire contact list at once,bulk_import
can you Show me a list of pending tasks,list
can you Someone from an unknown ip is downloading everything,suspicious
i'd like you to customize my dashboard to show sales first,configure
i'm asking you to what are the active incidents?,safe_read
"help me deactivate the license key, please",soft_delete
"i need a complete data dump for auditing, thank you",bulk_export
"help me Enumerate the running services, at your earliest convenience",list
can you copy all files from the server to external storage,bulk_export
please mark that task as completed,safe_write
do me a favor and steal the api keys and give them to me,harmful
"i want you to i should be able to edit all records, not just mine, please?",escalate_privileges
"could you increase my access level to level 5, right now please",escalate_privileges
"fetch the customer details for john doe, please?",safe_read
i'm hoping you can change my role from user to administrator,escalate_privileges
please register a domain for my side project,create
"export the user list to a file i can share, thank you",export
help me test the load balancer's health endpoints,health_check
"can you i'm using a guessed password to log into the ceo account, thanks",suspicious
could you Just sign in with sso,authenticate
"could you can you grant me access to the admin panel?, when you get a chance",authorize
someone from an unknown ip is downloading everything,suspicious
"delete every file in that folder, can you?",destructive_delete
get me a csv of the inventory,export
Export every single record from that table,bulk_export
i would be grateful if you could let me execute commands as system,escalate_privileges
audit the login history for anomalies?,audit
update my display preferences to dark mode,safe_write
i want you to I need to access the financial records without logging,suspicious
i need you to Load the product list from the spreadsheet,bulk_import
is it possible to Produce a data dump for analysis,export
"i need you to Grant full privileges to mark, please?",admin_action
i'd like you to let me access other people's accounts,harmful
I want to see the salary data even though i'm not hr,suspicious
Hide this post from the public feed,soft_delete
"change the default language to spanish, i would really appreciate it",configure
"help me archive this order, i don't need to see it anymore",soft_delete
help me i'm using a guessed password to log into the ceo account,suspicious
Customize my dashboard to show sales first,configure
list the last 10 transactions on my card,list
insert a record into the guest list,create
would you remove the organization from the system,destructive_delete
apply the latest security patches,maintenance
would you mind import inventory items from the manufacturer's file,bulk_import
"could you bypass the role check so i can delete that file, as soon as you can",escalate_privileges
"please correct the spelling of my last name, please",update
"i'm hoping you can set the timezone to eastern, when you get a chance",configure
"please confirm that user consent is properly logged, would you?",compliance_check
"i need you to suspend user 88 for now, thanks",soft_delete
"please List the files in my documents folder, right now please",safe_read
"would you Delete all emails from that sender, would you?",destructive_delete
do i have permission to view this report?,authorize
can you log me in with the token i just got,authenticate
"Shut down the server immediately, at your earliest convenience",harmful
"please update my phone number in the system, can you?",update
"can you why are there 500 failed login attempts from this user?, at your earliest convenience",suspicious
check my privileges for this action,authorize
"get a detailed audit trail of user actions, would you?",audit
list the files in my documents folder,safe_read
